Coin,classification,trades,total_net_pnl,total_volume_usd
HYPE,Extreme Fear,10278,477947.45514700003,29253178.69
ETH,Extreme Fear,1393,272941.770299,7720053.08
SOL,Extreme Fear,1878,99108.90867,26241359.78
MELANIA,Extreme Fear,446,97251.61572100001,862551.92
SUI,Extreme Fear,249,44449.286868999996,1318482.11
HYPE,Fear,27951,828971.644267,63327528.27
SOL,Fear,3914,730044.294255,51824505.65
ETH,Fear,2850,668900.863529,39635351.1
BTC,Fear,9870,424930.814284,300912163.3
MELANIA,Fear,1985,196486.681479,3477530.64
SOL,Neutral,1400,299528.423264,16118744.79
HYPE,Neutral,17324,294327.223404,27570986.89
@107,Neutral,4210,218503.65355542,7717676.43
BTC,Neutral,4753,144580.4489,98386717.32
DOGE,Neutral,39,115706.221059,298882.07
@107,Greed,8398,722745.73982244,16923981.98
SOL,Greed,1586,446780.768949,22849528.78
ETH,Greed,3574,342967.032598,37325288.1
HYPE,Greed,6769,163831.492359,11751723.2
ZRO,Greed,1152,143663.749897,885934.05
@107,Extreme Greed,10403,1986855.85769107,20452573.55
HYPE,Extreme Greed,5683,158044.854144,10086789.0
BTC,Extreme Greed,2436,87799.943729,43881928.84
PURR/USDC,Extreme Greed,1480,77038.058409,645545.6
kBONK,Extreme Greed,730,36594.718042,2084177.97
