date,classification,daily_net_pnl,daily_volume_usd,daily_trades,daily_accounts
2023-05-01,Greed,0.0,477.0,3,1
2023-12-05,Extreme Greed,-12.501455,50005.83,9,1
2023-12-14,Greed,-233.73556800000003,113203.35,11,1
2023-12-15,Greed,-27.284523,10609.95,2,1
2023-12-16,Greed,-3.8371890000000004,15348.77,3,1
2023-12-17,Greed,275.91328599999997,116278.02,14,1
2023-12-18,Greed,-7.791045,31164.179999999997,2,1
2023-12-19,Greed,977.638016,91602.41,15,1
2023-12-20,Greed,127.323095,141636.79,18,1
2023-12-21,Greed,505.902933,125233.97,49,1
2023-12-22,Greed,119.61410899999998,88874.28,10,1
2023-12-23,Greed,127.327149,78438.25,13,1
2023-12-24,Greed,907.881241,402954.94,39,1
2023-12-25,Greed,-260.068473,59948.51,3,1
2023-12-27,Greed,-747.741974,171411.06,28,1
2023-12-28,Greed,-995.760176,100117.25,23,1
2023-12-29,Greed,366.532242,569559.72,50,1
2023-12-30,Greed,179.36112199999997,702550.21,52,1
2024-01-01,Greed,-195.59132699999998,264239.52999999997,18,1
2024-01-02,Greed,753.64194,121348.74,17,1
2024-01-03,Greed,767.390696,394499.36,67,1
2024-01-04,Greed,-92.551772,99792.54000000001,5,1
2024-01-05,Greed,-261.844074,1703942.66,66,1
2024-01-06,Greed,60.95132200000004,298521.4,22,1
2024-01-07,Greed,-1097.893699,1048850.06,97,1
2024-01-08,Greed,-650.4875030000002,1522452.43,128,1
2024-01-09,Extreme Greed,-1030.3627910000002,870051.97,70,1
2024-01-10,Greed,-1951.136207,2057479.48,193,1
2024-01-11,Extreme Greed,-239.95667199999997,305314.1,21,2
2024-01-12,Greed,-1974.999751,200082.27,7,1
2024-01-15,Neutral,140.200868,50636.1,14,2
2024-01-16,Greed,-2316.4907670000002,116427.33,9,2
2024-01-17,Greed,653.566505,800831.03,53,1
2024-01-18,Greed,-23.724710999999996,424631.52999999997,46,1
2024-01-19,Neutral,-478.471103,428428.97,48,2
2024-01-20,Neutral,-414.097453,1070090.51,106,1
2024-01-21,Greed,240.79871599999998,103129.74,11,1
2024-01-22,Greed,1308.162691,337878.99,85,2
2024-01-23,Neutral,-454.96929999999986,414518.93000000005,45,1
2024-01-24,Neutral,-3036.12491,965084.59,68,1
2024-01-25,Neutral,-3110.270917,66566.13,6,1
2024-01-26,Neutral,89.755765,11773.21,5,2
2024-01-28,Neutral,-2477.707544,18109.03,11,1
2024-01-29,Greed,383.299937,414208.18,74,2
2024-01-30,Greed,-273.90700100000004,401011.38,49,1
2024-01-31,Greed,-2349.252292,6305647.13,859,1
2024-02-01,Greed,-0.5020439999999999,2008.18,6,1
2024-02-02,Greed,364.853837,474278.43,42,1
2024-02-03,Greed,113.64683800000003,603820.0,56,1
2024-02-04,Greed,-2.9029850000000166,203187.53,35,1
2024-02-05,Greed,-199.00365900000008,770198.26,72,1
2024-02-06,Greed,-1204.222904,8047153.41,1088,1
2024-02-07,Greed,240.902427,6758.73,15,1
2024-02-08,Greed,767.7531369999999,26051.12,10,1
2024-02-11,Greed,958.487884,212311.82,34,1
2024-02-12,Greed,886.7698759999998,227247.69999999998,16,1
2024-02-13,Extreme Greed,559.483882,1999.99,14,1
2024-02-14,Greed,3807.682359,320839.88,111,2
2024-02-15,Greed,1810.09138,185188.04,63,2
2024-02-16,Greed,5464.543664,564896.51,182,2
2024-02-17,Extreme Greed,1867.586747,406118.07,94,2
2024-02-18,Greed,480.7657549999999,157048.17,97,1
2024-02-19,Extreme Greed,4302.915943,286377.2,101,2
2024-02-20,Greed,3260.555149,119419.72,39,2
2024-02-21,Extreme Greed,1855.827941,108047.51999999999,22,2
2024-02-22,Greed,3868.6524899999995,373033.87,88,2
2024-02-23,Extreme Greed,1420.619999,111106.14,143,1
2024-02-25,Greed,-30.6809,4480.13,5,1
2024-02-26,Greed,4416.945025,192187.14,39,2
2024-02-27,Extreme Greed,892.2733420000001,209362.3,63,2
